/-----------------------------------------------------/
/                    Hatree-Fock                      /
/-----------------------------------------------------/
  Number of valence protons:  4
  Number of valence neutrons: 4
/-----------------------------------------------------/
  the num of Vpp terms: 46
  the num of Vnn terms: 46
  the num of Vpn terms: 168
/-----------------------------------------------------/
  mesh points type:      Qud_legendre
  number of mesh points: alpha: 27  beta: 27  gamma: 27
  Projected 2I: 0   2M: 0   2K: 0
/-----------------------------------------------------/
  Read 1 configurations! from Input/GCMpoints/
  Eigenvalues of Overlaps without J projection:
      0th  configuration :  1
0  0.00191037  0  0.00191037  0  0.00191037   -80.7474  1.4245e-15   |   0.99986  -1.79314e-17   1.10876e-09  0
0  0.00191037  0  0.00191037  1  0.0100383   -80.7474  4.54074e-15   |   0.99986  -4.93015e-17   2.56696e-09  0
0  0.00191037  0  0.00191037  2  0.0245497   -80.7474  1.82905e-15   |   0.99986  1.69689e-17   3.99389e-09  0
0  0.00191037  0  0.00191037  3  0.0452588   -80.7474  1.5276e-15   |   0.99986  -9.16807e-18   5.36894e-09  0
0  0.00191037  0  0.00191037  4  0.071896   -80.7474  -6.55266e-15   |   0.99986  1.24669e-16   6.67403e-09  0
0  0.00191037  0  0.00191037  5  0.104114   -80.7474  -1.11215e-14   |   0.99986  2.16239e-16   7.89213e-09  0
0  0.00191037  0  0.00191037  6  0.141493   -80.7474  -2.4029e-15   |   0.99986  -3.36002e-17   9.00735e-09  0
0  0.00191037  0  0.00191037  7  0.183546   -80.7474  6.48311e-15   |   0.99986  -5.42534e-17   1.00051e-08  0
0  0.00191037  0  0.00191037  8  0.229724   -80.7474  -6.66058e-15   |   0.99986  1.60808e-16   1.08725e-08  0
0  0.00191037  0  0.00191037  9  0.279426   -80.7474  -2.44037e-15   |   0.99986  -1.54701e-16   1.15981e-08  0
0  0.00191037  0  0.00191037  10  0.332003   -80.7474  4.55386e-15   |   0.99986  -8.68646e-17   1.21726e-08  0
0  0.00191037  0  0.00191037  11  0.38677   -80.7474  -7.93828e-15   |   0.99986  1.37916e-16   1.25883e-08  0
0  0.00191037  0  0.00191037  12  0.443014   -80.7474  4.02388e-15   |   0.99986  -2.43651e-18   1.28399e-08  0
0  0.00191037  0  0.00191037  13  0.5   -80.7474  1.71217e-16   |   0.99986  -3.43068e-18   1.29242e-08  0
0  0.00191037  0  0.00191037  14  0.556986   -80.7474  4.67471e-15   |   0.99986  -1.2943e-16   1.28399e-08  0
0  0.00191037  0  0.00191037  15  0.61323   -80.7474  6.14648e-15   |   0.99986  -1.15217e-16   1.25883e-08  0
0  0.00191037  0  0.00191037  16  0.667997   -80.7474  -5.25247e-15   |   0.99986  5.7724e-17   1.21726e-08  0
0  0.00191037  0  0.00191037  17  0.720574   -80.7474  -1.09135e-14   |   0.99986  2.96661e-16   1.15981e-08  0
0  0.00191037  0  0.00191037  18  0.770276   -80.7474  -1.03688e-14   |   0.99986  1.24377e-16   1.08725e-08  0
0  0.00191037  0  0.00191037  19  0.816454   -80.7474  -6.01791e-15   |   0.99986  6.58174e-17   1.00051e-08  0
0  0.00191037  0  0.00191037  20  0.858507   -80.7474  9.4898e-15   |   0.99986  -1.88234e-16   9.00735e-09  0
0  0.00191037  0  0.00191037  21  0.895886   -80.7474  -4.6935e-15   |   0.99986  8.969e-17   7.89213e-09  0
0  0.00191037  0  0.00191037  22  0.928104   -80.7474  1.79689e-15   |   0.99986  4.84408e-17   6.67403e-09  0
0  0.00191037  0  0.00191037  23  0.954741   -80.7474  -5.4034e-16   |   0.99986  -4.17974e-17   5.36894e-09  0
0  0.00191037  0  0.00191037  24  0.97545   -80.7474  -1.20777e-15   |   0.99986  2.59598e-17   3.99389e-09  0
0  0.00191037  0  0.00191037  25  0.989962   -80.7474  4.04186e-16   |   0.99986  5.48157e-18   2.56696e-09  0
0  0.00191037  0  0.00191037  26  0.99809   -80.7474  3.27736e-16   |   0.99986  -7.27517e-20   1.10876e-09  0
0  0.00191037  1  0.0100383  0  0.00191037   -80.4581  3.62199e-17   |   0.996147  -8.40474e-18   1.34863e-08  0
0  0.00191037  1  0.0100383  1  0.0100383   -80.4581  3.09535e-16   |   0.996147  5.13487e-18   3.12229e-08  0
0  0.00191037  1  0.0100383  2  0.0245497   -80.4581  -4.66178e-15   |   0.996147  6.14422e-17   4.8579e-08  0
0  0.00191037  1  0.0100383  3  0.0452588   -80.4581  -6.3554e-15   |   0.996147  1.29858e-16   6.53042e-08  0
0  0.00191037  1  0.0100383  4  0.071896   -80.4581  5.91593e-15   |   0.996147  -2.93612e-17   8.11785e-08  0
0  0.00191037  1  0.0100383  5  0.104114   -80.4581  -2.03263e-14   |   0.996147  2.03619e-16   9.59947e-08  0
0  0.00191037  1  0.0100383  6  0.141493   -80.4581  1.06152e-14   |   0.996147  -2.31758e-16   1.09559e-07  0
0  0.00191037  1  0.0100383  7  0.183546   -80.4581  -7.15839e-16   |   0.996147  8.51089e-17   1.21696e-07  0
0  0.00191037  1  0.0100383  8  0.229724   -80.4581  -5.53202e-15   |   0.996147  2.43777e-16   1.32246e-07  0
0  0.00191037  1  0.0100383  9  0.279426   -80.4581  1.48374e-14   |   0.996147  -2.24953e-16   1.41072e-07  0
0  0.00191037  1  0.0100383  10  0.332003   -80.4581  -5.43745e-15   |   0.996147  -3.85537e-17   1.48059e-07  0
0  0.00191037  1  0.0100383  11  0.38677   -80.4581  7.37867e-16   |   0.996147  -5.68936e-17   1.53116e-07  0
0  0.00191037  1  0.0100383  12  0.443014   -80.4581  -4.05593e-15   |   0.996147  -8.71519e-18   1.56176e-07  0
0  0.00191037  1  0.0100383  13  0.5   -80.4581  -5.46925e-16   |   0.996147  7.19723e-18   1.57201e-07  0
